X3,Y3,Z3
-884.3575439,746.2731934,-752.9586792
-883.9540405,754.7598877,-753.0026245
-883.5253906,763.2553101,-753.0665283
-883.0689697,771.7442017,-753.1484985
-882.581665,780.2145386,-753.2435913
-882.0600586,788.6571655,-753.3441772
-881.5021362,797.0645752,-753.4428101
-880.9072876,805.4291992,-753.534668
-880.2775269,813.744751,-753.6199341
-879.6156616,822.0070801,-753.7033081
-878.9238892,830.2125244,-753.7927856
-878.2021484,838.3551636,-753.8973389
-877.4475708,846.4257813,-754.0235596
-876.6554565,854.4140015,-754.1743164
-875.8206177,862.3100586,-754.348877
-874.9379883,870.1054077,-754.5443726
-874.00354,877.7914429,-754.7579346
-873.0141602,885.3582764,-754.9868774
-871.9672852,892.7949219,-755.2289429
-870.8599854,900.0888062,-755.4821777
-869.6890869,907.2275391,-755.7443237
-868.4520874,914.1997681,-756.0118408
-867.1481323,920.9962769,-756.2778931
-865.7786255,927.6098022,-756.5323486
-864.3465576,934.0357056,-756.7644653
-862.8550415,940.2719116,-756.9657593
-861.3067627,946.3189087,-757.1309814
-859.7038574,952.1801758,-757.2565308
-858.0476074,957.8629761,-757.3392944
-856.3381348,963.3800659,-757.3760376
-854.5737915,968.7493286,-757.3626709
-852.7523193,973.9926758,-757.2950439
-850.87323,979.1303711,-757.1711426
-848.9414063,984.1691284,-756.9956665
-846.9719849,989.0864258,-756.7844849
-844.9904785,993.8231812,-756.5646973
-843.0231934,998.3049927,-756.3672485
-841.0852661,1002.482849,-756.2139893
-839.177002,1006.358948,-756.1082764
-837.2905884,1009.971313,-756.036438
-835.4191895,1013.359741,-755.9785156
-833.5608521,1016.548096,-755.9182129
-831.7180786,1019.548462,-755.8466797
-829.8950195,1022.370911,-755.7606812
-828.0963135,1025.024902,-755.6604614
-826.3270874,1027.51709,-755.5498047
-824.5925293,1029.852295,-755.4365845
-822.8964844,1032.03479,-755.3302612
-821.2415161,1034.070435,-755.2403564
-819.6290894,1035.964844,-755.1737671
-818.0596924,1037.723267,-755.1351929
-816.5322876,1039.351074,-755.1268921
-815.0447998,1040.854248,-755.1486206
-813.5941772,1042.23938,-755.1967773
-812.1768799,1043.513184,-755.2650146
-810.7886353,1044.682739,-755.3447876
-809.4243774,1045.75647,-755.4273682
-808.0785522,1046.743408,-755.5057373
-806.7468262,1047.651611,-755.5751953
-805.4263306,1048.487549,-755.6324463
-804.1157837,1049.257935,-755.6749878
-802.8140259,1049.972778,-755.7005005
-801.519043,1050.644287,-755.7067261
-800.2277222,1051.28418,-755.6931763
-798.9365845,1051.899658,-755.6611328
-797.6429443,1052.491333,-755.6132202
-796.3464966,1053.054565,-755.552124
-795.0494995,1053.578857,-755.4813843
-793.7573242,1054.05127,-755.4047241
-792.477478,1054.45813,-755.3258057
-791.2188721,1054.788208,-755.2479858
-789.9918213,1055.034912,-755.1734619
-788.8062744,1055.197998,-755.1035156
-787.6714478,1055.283203,-755.0390015
