R_GM,R_ST,R_BF,L_GM,L_ST,L_BF
1.37E-05,-1.54E-05,-5.54E-05,-2.57E-06,-2.19E-05,-8.17E-05
1.48E-05,-9.87E-06,-5.48E-05,-5.71E-06,-2.34E-05,-8.15E-05
1.78E-05,-4.80E-06,-4.10E-05,-1.06E-05,-2.12E-05,-7.36E-05
1.97E-05,-7.00E-06,-2.38E-05,-1.27E-05,-2.01E-05,-6.60E-05
1.81E-05,-1.24E-05,-1.87E-05,-1.29E-05,-1.94E-05,-6.64E-05
1.52E-05,-1.62E-05,-2.35E-05,-1.32E-05,-1.55E-05,-6.95E-05
1.37E-05,-1.94E-05,-2.98E-05,-1.34E-05,-9.09E-06,-6.86E-05
1.35E-05,-2.36E-05,-3.43E-05,-1.19E-05,-4.48E-06,-6.64E-05
1.54E-05,-2.84E-05,-3.65E-05,-8.63E-06,-5.77E-06,-6.82E-05
1.83E-05,-3.14E-05,-3.74E-05,-5.51E-06,-1.15E-05,-7.36E-05
1.90E-05,-3.15E-05,-3.83E-05,-3.91E-06,-1.46E-05,-7.75E-05
1.82E-05,-3.07E-05,-4.00E-05,-4.37E-06,-1.24E-05,-7.75E-05
1.88E-05,-3.20E-05,-4.23E-05,-4.23E-06,-8.99E-06,-7.18E-05
2.03E-05,-3.76E-05,-4.47E-05,-7.80E-07,-6.37E-06,-6.10E-05
2.08E-05,-4.45E-05,-4.54E-05,4.08E-06,-2.55E-06,-5.00E-05
2.00E-05,-4.89E-05,-4.44E-05,6.63E-06,2.29E-06,-4.45E-05
1.90E-05,-5.01E-05,-4.38E-05,6.87E-06,5.30E-06,-4.37E-05
1.83E-05,-4.94E-05,-4.52E-05,8.37E-06,5.81E-06,-4.37E-05
1.76E-05,-4.59E-05,-4.92E-05,1.32E-05,6.33E-06,-4.34E-05
1.73E-05,-4.10E-05,-5.41E-05,1.84E-05,7.99E-06,-4.61E-05
1.77E-05,-3.67E-05,-5.72E-05,1.93E-05,8.22E-06,-5.23E-05
1.68E-05,-3.04E-05,-5.87E-05,1.52E-05,5.06E-06,-5.61E-05
1.31E-05,-2.05E-05,-6.01E-05,1.10E-05,1.47E-06,-5.39E-05
8.68E-06,-1.32E-05,-6.29E-05,1.08E-05,1.43E-06,-5.19E-05
7.12E-06,-1.47E-05,-6.80E-05,1.32E-05,4.49E-06,-5.53E-05
9.51E-06,-2.22E-05,-7.07E-05,1.58E-05,6.10E-06,-6.44E-05
1.20E-05,-2.75E-05,-6.62E-05,1.70E-05,2.87E-06,-7.56E-05
1.21E-05,-2.65E-05,-6.00E-05,1.65E-05,-6.91E-07,-7.84E-05
1.10E-05,-2.09E-05,-6.15E-05,1.59E-05,1.59E-08,-6.86E-05
9.96E-06,-1.44E-05,-7.05E-05,1.58E-05,1.10E-06,-5.56E-05
9.18E-06,-7.44E-06,-7.95E-05,1.43E-05,-1.89E-06,-4.59E-05
8.72E-06,3.31E-06,-8.39E-05,1.21E-05,-3.53E-06,-3.77E-05
8.13E-06,1.64E-05,-8.38E-05,1.24E-05,2.27E-06,-2.77E-05
5.76E-06,3.09E-05,-7.99E-05,1.27E-05,8.40E-06,-1.43E-05
3.30E-06,4.45E-05,-7.26E-05,8.28E-06,8.98E-06,-8.78E-07
1.74E-06,5.22E-05,-6.17E-05,2.35E-06,6.87E-06,5.93E-06
-4.06E-07,5.56E-05,-4.90E-05,-6.40E-08,4.94E-06,5.09E-06
-1.77E-06,5.95E-05,-3.85E-05,-1.06E-07,4.72E-06,3.22E-06
-8.94E-07,6.49E-05,-3.33E-05,-9.13E-08,5.36E-06,6.53E-06
1.87E-06,7.01E-05,-3.44E-05,3.43E-07,5.74E-06,1.39E-05
4.44E-06,7.00E-05,-3.81E-05,2.46E-06,4.46E-06,1.91E-05
5.32E-06,6.16E-05,-3.98E-05,4.82E-06,8.55E-07,1.88E-05
5.18E-06,4.94E-05,-3.73E-05,4.73E-06,-4.57E-06,1.62E-05
6.08E-06,3.95E-05,-2.90E-05,3.53E-06,-1.05E-05,1.69E-05
8.20E-06,3.21E-05,-1.79E-05,4.60E-06,-1.51E-05,2.20E-05
1.01E-05,2.36E-05,-1.26E-05,8.06E-06,-1.85E-05,2.74E-05
1.18E-05,1.38E-05,-1.59E-05,1.08E-05,-2.20E-05,3.08E-05
1.37E-05,7.45E-06,-1.96E-05,1.02E-05,-2.67E-05,3.35E-05
1.41E-05,8.92E-06,-1.55E-05,7.00E-06,-3.15E-05,3.90E-05
1.24E-05,1.55E-05,-6.13E-06,4.19E-06,-3.32E-05,4.69E-05
9.88E-06,2.01E-05,-8.16E-07,3.87E-06,-3.11E-05,5.00E-05
8.66E-06,1.97E-05,-6.00E-06,7.74E-06,-2.65E-05,4.52E-05
1.00E-05,1.39E-05,-1.74E-05,1.42E-05,-2.03E-05,3.77E-05
1.11E-05,2.81E-06,-2.51E-05,1.61E-05,-1.39E-05,3.37E-05
1.06E-05,-6.18E-06,-2.70E-05,1.12E-05,-5.98E-06,3.40E-05
1.28E-05,-8.10E-06,-2.88E-05,6.20E-06,1.83E-06,3.44E-05
1.68E-05,-9.65E-06,-3.28E-05,5.68E-06,4.09E-06,3.23E-05
1.73E-05,-1.46E-05,-3.99E-05,7.14E-06,2.96E-06,2.46E-05
1.36E-05,-1.99E-05,-4.81E-05,6.64E-06,5.37E-06,1.01E-05
1.15E-05,-2.26E-05,-4.92E-05,4.35E-06,6.84E-06,-4.63E-06
1.27E-05,-2.00E-05,-4.43E-05,2.12E-06,2.27E-06,-1.58E-05
1.14E-05,-1.47E-05,-3.94E-05,1.22E-06,-4.64E-06,-2.69E-05
7.02E-06,-1.30E-05,-3.83E-05,3.47E-06,-9.15E-06,-3.75E-05
4.35E-06,-1.47E-05,-4.39E-05,8.52E-06,-9.90E-06,-4.47E-05
4.97E-06,-1.78E-05,-5.36E-05,1.12E-05,-1.16E-05,-4.62E-05
5.25E-06,-2.34E-05,-5.99E-05,9.63E-06,-1.42E-05,-4.12E-05
3.98E-06,-2.95E-05,-6.00E-05,8.31E-06,-1.42E-05,-3.60E-05
3.68E-06,-3.18E-05,-5.55E-05,8.51E-06,-1.35E-05,-3.65E-05
4.52E-06,-2.91E-05,-4.72E-05,7.80E-06,-1.48E-05,-3.82E-05
5.19E-06,-2.15E-05,-3.73E-05,5.07E-06,-1.73E-05,-3.41E-05
5.10E-06,-1.09E-05,-3.00E-05,1.19E-06,-1.92E-05,-2.72E-05
4.21E-06,-1.02E-06,-2.91E-05,-2.64E-06,-1.94E-05,-2.48E-05
3.86E-06,5.47E-06,-3.47E-05,-4.18E-06,-1.75E-05,-2.94E-05
5.67E-06,7.20E-06,-4.16E-05,-2.63E-06,-1.29E-05,-3.76E-05
7.47E-06,6.37E-06,-4.50E-05,-1.38E-07,-7.51E-06,-4.40E-05
7.35E-06,9.09E-06,-4.54E-05,1.08E-06,-6.02E-06,-4.74E-05
7.17E-06,1.71E-05,-4.52E-05,1.65E-06,-9.23E-06,-5.09E-05
7.46E-06,2.31E-05,-4.48E-05,3.20E-06,-1.25E-05,-5.70E-05
6.19E-06,2.04E-05,-4.54E-05,5.26E-06,-1.35E-05,-6.40E-05
4.43E-06,1.26E-05,-4.75E-05,6.09E-06,-1.39E-05,-6.95E-05
4.52E-06,6.82E-06,-4.88E-05,5.17E-06,-1.54E-05,-7.30E-05
6.61E-06,5.44E-06,-4.90E-05,3.89E-06,-1.67E-05,-7.48E-05
8.37E-06,7.23E-06,-5.10E-05,3.21E-06,-1.78E-05,-7.49E-05
7.58E-06,1.01E-05,-5.54E-05,4.13E-06,-2.02E-05,-7.48E-05
5.86E-06,1.28E-05,-5.97E-05,5.39E-06,-2.18E-05,-7.85E-05
5.07E-06,1.44E-05,-6.18E-05,4.59E-06,-2.08E-05,-8.39E-05
5.03E-06,1.37E-05,-6.28E-05,4.46E-06,-2.00E-05,-8.25E-05
6.22E-06,1.13E-05,-6.48E-05,6.16E-06,-2.07E-05,-7.37E-05
8.73E-06,1.07E-05,-6.50E-05,7.67E-06,-1.71E-05,-6.47E-05
9.34E-06,9.00E-06,-6.23E-05,8.47E-06,-8.39E-06,-5.73E-05
7.48E-06,1.75E-06,-6.09E-05,8.23E-06,-1.22E-06,-4.73E-05
5.05E-06,-5.55E-06,-6.25E-05,7.24E-06,1.82E-06,-3.81E-05
2.60E-06,-7.02E-06,-6.44E-05,4.60E-06,3.28E-06,-3.63E-05
2.32E-06,-3.75E-06,-6.53E-05,1.44E-06,4.66E-06,-3.83E-05
4.86E-06,-1.66E-06,-6.52E-05,1.88E-06,4.03E-06,-3.62E-05
7.54E-06,-2.36E-06,-6.32E-05,5.98E-06,1.94E-06,-2.91E-05
8.79E-06,-1.51E-06,-5.94E-05,9.70E-06,-1.33E-06,-2.28E-05
9.33E-06,2.04E-06,-5.57E-05,1.20E-05,-6.89E-06,-1.95E-05
9.93E-06,2.78E-06,-5.53E-05,1.43E-05,-1.11E-05,-1.74E-05
1.02E-05,-2.08E-06,-5.79E-05,1.63E-05,-1.14E-05,-1.47E-05
1.05E-05,-9.07E-06,-6.04E-05,1.60E-05,-1.08E-05,-1.24E-05
1.16E-05,-1.60E-05,-6.20E-05,1.22E-05,-1.12E-05,-1.42E-05
1.30E-05,-2.09E-05,-6.42E-05,7.33E-06,-1.22E-05,-1.90E-05
1.37E-05,-2.16E-05,-6.75E-05,5.04E-06,-1.57E-05,-2.25E-05
1.24E-05,-2.10E-05,-7.02E-05,4.84E-06,-1.98E-05,-2.37E-05
1.04E-05,-2.39E-05,-7.17E-05,3.70E-06,-1.73E-05,-2.29E-05
1.01E-05,-2.94E-05,-7.29E-05,1.38E-06,-7.24E-06,-1.83E-05
1.07E-05,-3.30E-05,-7.36E-05,6.30E-07,1.24E-06,-1.02E-05
1.07E-05,-2.85E-05,-7.27E-05,3.87E-06,1.96E-06,-4.68E-07
9.51E-06,-1.61E-05,-6.90E-05,7.31E-06,-2.39E-06,7.86E-06
7.99E-06,-6.97E-06,-6.50E-05,7.48E-06,-4.77E-06,1.32E-05
6.46E-06,-7.26E-06,-6.63E-05,6.10E-06,-1.70E-06,1.63E-05
5.12E-06,-9.88E-06,-7.04E-05,2.88E-06,5.05E-06,1.74E-05
5.99E-06,-9.65E-06,-7.08E-05,-1.81E-06,1.03E-05,1.90E-05
9.30E-06,-6.19E-06,-6.89E-05,-4.92E-06,1.09E-05,2.08E-05
1.29E-05,7.04E-07,-6.65E-05,-5.78E-06,7.12E-06,1.98E-05
1.46E-05,1.21E-05,-5.82E-05,-6.30E-06,-1.10E-06,1.86E-05
1.36E-05,3.06E-05,-3.71E-05,-7.34E-06,-8.84E-06,1.93E-05
1.11E-05,5.09E-05,-4.37E-06,-8.45E-06,-1.16E-05,1.90E-05
9.77E-06,6.34E-05,2.90E-05,-8.58E-06,-1.13E-05,1.39E-05
9.80E-06,6.87E-05,4.96E-05,-6.83E-06,-1.21E-05,4.78E-06
8.86E-06,7.27E-05,5.45E-05,-5.14E-06,-1.57E-05,-3.25E-06
6.71E-06,7.59E-05,5.31E-05,-5.40E-06,-2.13E-05,-6.05E-06
3.70E-06,7.72E-05,5.33E-05,-6.40E-06,-2.58E-05,-3.35E-06
1.95E-06,7.74E-05,5.63E-05,-5.26E-06,-2.65E-05,1.47E-06
3.55E-06,7.50E-05,6.05E-05,-2.17E-06,-2.45E-05,4.52E-06
6.71E-06,6.79E-05,6.23E-05,1.61E-07,-2.42E-05,6.27E-06
8.69E-06,5.91E-05,5.98E-05,7.88E-07,-2.70E-05,1.01E-05
9.71E-06,5.17E-05,5.41E-05,6.30E-07,-2.90E-05,1.74E-05
1.07E-05,4.61E-05,4.51E-05,6.69E-07,-2.78E-05,2.67E-05
1.12E-05,4.39E-05,3.32E-05,1.14E-06,-2.61E-05,3.69E-05
9.98E-06,4.70E-05,2.30E-05,1.21E-06,-2.49E-05,4.60E-05
8.25E-06,4.87E-05,1.93E-05,1.58E-06,-2.15E-05,5.14E-05
7.19E-06,4.24E-05,1.94E-05,4.34E-06,-1.65E-05,5.28E-05
7.91E-06,3.43E-05,1.60E-05,8.28E-06,-1.35E-05,5.15E-05
1.10E-05,3.22E-05,4.49E-06,9.65E-06,-1.49E-05,5.08E-05
1.40E-05,3.56E-05,-1.00E-05,7.57E-06,-2.07E-05,5.11E-05
1.59E-05,4.02E-05,-1.46E-05,4.34E-06,-2.90E-05,4.81E-05
1.74E-05,4.43E-05,-6.15E-06,1.72E-06,-3.52E-05,4.14E-05
1.75E-05,4.88E-05,6.70E-06,1.34E-06,-3.48E-05,3.51E-05
