X3,Y3,Z3
-1766.748413,939.9113159,-749.9041138
-1770.682861,934.8937988,-749.9594116
-1774.602417,929.8102417,-750.0373535
-1778.502319,924.6617432,-750.1428223
-1782.376587,919.4507446,-750.2784424
-1786.21875,914.1818848,-750.4434814
-1790.022705,908.8616943,-750.6349487
-1793.782104,903.4968872,-750.8478394
-1797.491577,898.0935669,-751.0764771
-1801.147217,892.6576538,-751.3158569
-1804.746704,887.1962891,-751.5615845
-1808.287842,881.7175293,-751.8079224
-1811.77124,876.2301025,-752.0471191
-1815.200806,870.7423706,-752.2700806
-1818.584473,865.2618408,-752.4673462
-1821.925659,859.7932129,-752.6328735
-1825.216553,854.3377686,-752.7665405
-1828.443848,848.894165,-752.8717041
-1831.598877,843.4589844,-752.9501343
-1834.680176,838.027832,-753.0020142
-1837.691162,832.5965576,-753.0289917
-1840.640137,827.1622314,-753.0368042
-1843.540283,821.7225342,-753.0339966
-1846.410889,816.2740479,-753.0286255
-1849.268311,810.810791,-753.0288086
-1852.116211,805.3257446,-753.0455322
-1854.946899,799.8154297,-753.0882568
-1857.753662,794.2833862,-753.1566772
-1860.532593,788.7398682,-753.2424927
-1863.275635,783.197998,-753.3391113
-1865.974731,777.6678467,-753.4447632
-1868.626587,772.1544189,-753.5593262
-1871.236084,766.6589966,-753.6830444
-1873.814453,761.1835938,-753.8143921
-1876.37915,755.7340698,-753.9475098
-1878.946899,750.3208618,-754.0757446
-1881.523682,744.9586792,-754.1981201
-1884.102661,739.6658325,-754.3191528
-1886.674316,734.4649048,-754.4418335
-1889.233643,729.3814697,-754.5626221
-1891.780151,724.4422607,-754.6733398
-1894.315063,719.6727295,-754.7642822
-1896.840332,715.093811,-754.8284302
-1899.359253,710.7196045,-754.8630371
-1901.875854,706.5565796,-754.8707275
-1904.39624,702.6044312,-754.8583374
-1906.927002,698.857605,-754.8348999
-1909.475464,695.307251,-754.8095703
-1912.049194,691.9439697,-754.7897949
-1914.654663,688.7593994,-754.7808228
-1917.29541,685.746582,-754.786377
-1919.973022,682.8986816,-754.809082
-1922.687866,680.2069092,-754.8496094
-1925.44165,677.6605225,-754.9058838
-1928.238892,675.2478638,-754.9735718
-1931.089478,672.9604492,-755.046814
-1934.008057,670.795105,-755.1206665
-1937.009888,668.7553711,-755.194458
-1940.103882,666.8504028,-755.2758179
-1943.290649,665.095459,-755.380127
-1946.562012,663.513916,-755.5269775
-1949.904297,662.1398315,-755.7366943
-1953.297852,661.0181274,-756.0273438
-1956.718994,660.2018433,-756.411438
-1960.144165,659.7454224,-756.8890991
-1963.556763,659.6950073,-757.4381104
-1966.949585,660.0792236,-758.0111694
-1970.321167,660.9018555,-758.5495605
-1973.671387,662.1356201,-759.0011597
-1977.000488,663.7168579,-759.3330078
-1980.309937,665.5450439,-759.538208
-1983.599365,667.4902954,-759.6380005
-1986.862793,669.4093628,-759.6763306
-1990.086792,671.1661987,-759.7090454
-1993.250244,672.651062,-759.7907715
-1996.327148,673.7921753,-759.9638672
-1999.292603,674.5584717,-760.2532349
-2002.126343,674.9561768,-760.664856
-2004.816162,675.0217896,-761.1895752
-2007.358643,674.8158569,-761.8071289
-2009.759033,674.4154663,-762.4890137
-2012.030273,673.9071655,-763.2011719
-2014.190796,673.3796997,-763.9064941
-2016.265503,672.9164429,-764.5681763
-2018.281372,672.588501,-765.1542969
-2020.265259,672.4455566,-765.6427002
-2022.238647,672.508728,-766.0233765
-2024.213257,672.7672119,-766.2990112
-2026.189453,673.1802979,-766.4835815
-2028.154541,673.6862183,-766.598999
-2030.085205,674.213562,-766.6720581
-2031.95105,674.6934814,-766.7306519
-2033.721802,675.0705566,-766.8010864
-2035.374023,675.3098755,-766.9049683
-2036.893555,675.4000244,-767.0566406
-2038.27771,675.3511963,-767.2622681
-2039.534912,675.1907349,-767.5187988
-2040.68457,674.9581909,-767.8143311
-2041.751709,674.6990356,-768.1296997
-2042.762939,674.4578857,-768.4416504
-2043.740845,674.272644,-768.7263794
-2044.70166,674.1691895,-768.9639282
-2045.653687,674.1577148,-769.1427002
-2046.59668,674.2313843,-769.262085
-2047.524536,674.3699341,-769.3325195
-2048.427734,674.545166,-769.3718262
-2049.297852,674.7266235,-769.3998413
-2050.128906,674.8874512,-769.4333496
-2050.916748,675.0075073,-769.4839478
-2051.662109,675.0754395,-769.5575562
-2052.366943,675.0884399,-769.6560669
-2053.034912,675.0510254,-769.7783813
-2053.671875,674.9728394,-769.9214478
-2054.285889,674.8670044,-770.0803833
-2054.885986,674.7478027,-770.2489014
-2055.483643,674.6299438,-770.4190674
-2056.089111,674.5278931,-770.5828247
-2056.710693,674.4542847,-770.7327271
-2057.351807,674.4179688,-770.8638916
-2058.01001,674.4214478,-770.9751587
-2058.677246,674.4605103,-771.069458
-2059.341553,674.5248413,-771.1538086
-2059.98877,674.6004639,-771.2373657
-2060.607666,674.6724243,-771.3283691
-2061.190918,674.7280273,-771.4329834
-2061.738037,674.7593384,-771.5531006
-2062.253662,674.7643433,-771.6870117
-2062.74585,674.7462769,-771.8302612
-2063.2229,674.7121582,-771.9781494
-2063.69043,674.6709595,-772.1265259
-2064.151611,674.6315308,-772.2717896
-2064.606689,674.6011353,-772.4110107
-2065.053467,674.5841675,-772.5415649
-2065.488037,674.5820923,-772.6608887
-2065.907715,674.5939331,-772.7662354
-2066.309326,674.6174316,-772.8545532
-2066.690918,674.6497192,-772.9223633
-2067.050293,674.6875,-772.9668579
-2067.385254,674.7268066,-772.986145
-2067.692627,674.7635498,-772.9799194
-2067.968506,674.7940063,-772.9509888
-2068.209473,674.8150635,-772.9051514
-2068.412598,674.8249512,-772.8494873
-2068.577148,674.8241577,-772.7897949
-2068.704102,674.8146973,-772.7302856
-2068.79541,674.8000488,-772.6734619
-2068.854004,674.7841797,-772.6206055
-2068.883301,674.7705078,-772.5723877
-2068.885498,674.7613525,-772.5297852
-2068.861572,674.7566528,-772.4937744
-2068.811279,674.7539063,-772.4644775
-2068.734619,674.7492065,-772.4407349
-2068.630615,674.7391968,-772.4210815
-2068.500488,674.7231445,-772.4044189
-2068.346191,674.7023926,-772.3902588
-2068.17041,674.6800537,-772.3790894
-2067.976807,674.6586304,-772.3709717
-2067.768311,674.6387939,-772.3657227
-2067.546387,674.619812,-772.362793
-2067.312256,674.6003418,-772.3612061
-2067.066162,674.5795288,-772.3591919
-2066.808105,674.557251,-772.3549194
-2066.537842,674.5344849,-772.3467407
-2066.253662,674.5122681,-772.3337402
-2065.953613,674.4911499,-772.3157959
-2065.635254,674.4701538,-772.2926636
-2065.294922,674.4477539,-772.2642822
-2064.928955,674.4219971,-772.2310181
-2064.533691,674.3917236,-772.1940918
-2064.105713,674.3565674,-772.1554565
-2063.64209,674.3170776,-772.1167603
-2063.141113,674.2739868,-772.0788574
-2062.60083,674.227478,-772.0411987
-2062.020752,674.1775513,-772.0026245
-2061.400635,674.1242676,-771.961731
-2060.740479,674.0683594,-771.9176025
-2060.039551,674.0106201,-771.8696899
-2059.296631,673.9509277,-771.817627
-2058.508545,673.8881226,-771.7617798
-2057.673584,673.819519,-771.7025146
-2056.788574,673.7421265,-771.6399536
-2055.851074,673.6534424,-771.5739136
-2054.859619,673.5518188,-771.5042725
-2053.812256,673.4365234,-771.4314575
-2052.70752,673.307373,-771.3566895
-2051.544434,673.1641846,-771.2810059
-2050.322021,673.0064087,-771.2053223
-2049.040283,672.8339233,-771.1298828
-2047.699829,672.6469116,-771.0544434
-2046.300781,672.4455566,-770.9785156
-2044.842896,672.2302246,-770.9016724
-2043.325806,672.0007324,-770.8231812
-2041.748169,671.7575073,-770.7424316
-2040.110718,671.5015869,-770.6585693
-2038.413452,671.2342529,-770.5705566
