LBFT X,LBFT Y,LBFT Z,LLAN X,LLAN Y,LLAN Z,LMAN X,LMAN Y,LMAN Z,RBFT X,RBFT Y,RBFT Z,RLAN X,RLAN Y,RLAN Z,RMAN X,RMAN Y,RMAN Z
-980.5839844,84.44182587,-751.5692139,-923.7009888,119.7968369,-796.5178833,-895.9862061,112.943306,-721.2485962,-968.6416626,88.39241791,-476.0538025,-921.2605591,124.986763,-433.7879944,-882.0581055,117.5741959,-503.6169739
-980.559021,84.43598175,-751.5814819,-923.6383057,119.7527313,-796.5246582,-895.9892578,112.9245987,-721.2196655,-968.6454468,88.38092804,-476.0654297,-921.2783813,125.0177841,-433.7891846,-882.0216064,117.5806503,-503.60672
-980.5632324,84.43938446,-751.5790405,-923.6325684,119.7800674,-796.5012207,-895.9951172,112.92173,-721.2355347,-968.6361084,88.37524414,-476.0661926,-921.2665405,125.0029755,-433.8189087,-882.0214844,117.5861435,-503.5993347
-980.5592041,84.43830109,-751.5823364,-923.692749,119.797142,-796.4822998,-895.9904785,112.9407196,-721.2288818,-968.6436157,88.36814117,-476.0468445,-921.2678833,125.0024414,-433.8111572,-882.0189819,117.5880737,-503.6166687
-980.5698242,84.43023682,-751.5671387,-923.6137695,119.7618866,-796.4508667,-896.0029907,112.9178925,-721.2130127,-968.6380615,88.36875916,-476.0522461,-921.2674561,125.0110626,-433.8004761,-882.0332031,117.5545273,-503.6053467
-980.5714111,84.44607544,-751.5611572,-923.6715698,119.822052,-796.512207,-896.0170288,112.9481354,-721.2105103,-968.6238403,88.36752319,-476.0562744,-921.2359009,125.0003052,-433.8150635,-882.0490112,117.5790634,-503.6256104
-980.5567017,84.46165466,-751.5587158,-923.6306152,119.8482132,-796.5629883,-896.0007935,112.9528885,-721.2103882,-968.6364746,88.37314606,-476.0445251,-921.2572632,125.0181122,-433.7938232,-882.0335693,117.5690308,-503.6443787
-980.5678711,84.46046448,-751.5629883,-923.6552734,119.7917633,-796.4667358,-895.9992676,112.9389343,-721.2175293,-968.6351929,88.36299133,-476.0505066,-921.2377319,125.0070267,-433.8179016,-881.996521,117.5718307,-503.641449
-980.5666504,84.45306396,-751.5454102,-923.6329346,119.8141327,-796.4694214,-896.020752,112.977211,-721.2022095,-968.6216431,88.3719101,-476.0281067,-921.2161255,124.9968109,-433.8128052,-882.0174561,117.558342,-503.6273499
-980.5579224,84.44573212,-751.5648193,-923.4777832,119.6774673,-796.5281372,-896.0109253,112.9780197,-721.2012939,-968.6269531,88.3687973,-476.0362244,-921.2009277,125.0005569,-433.7937012,-882.0388184,117.5510559,-503.6316223
-980.5740967,84.45237732,-751.5638428,-923.4174194,119.659668,-796.5366821,-896.0244751,112.9624786,-721.1931763,-968.6445313,88.35917664,-476.0379639,-921.2344971,125.0137177,-433.8078613,-882.0379028,117.5492477,-503.6460571
-980.5802002,84.46492767,-751.5557861,-923.6726685,119.8368988,-796.5084839,-896.0013428,112.9641953,-721.1921387,-968.6252441,88.36478424,-476.0467224,-921.2209473,125.0087433,-433.7874756,-882.0332642,117.5511398,-503.6428223
-980.5689697,84.47235107,-751.5594482,-923.4573364,119.7184753,-796.5652466,-896.0037842,112.9699936,-721.1972656,-968.6204224,88.3559494,-476.0378418,-921.2138672,124.9931259,-433.7926331,-882.0269775,117.5578461,-503.6439209
-980.5759277,84.47475433,-751.5487671,-923.645874,119.8589554,-796.4954224,-896.0024414,112.9627686,-721.2020264,-968.632019,88.36587524,-476.0271606,-921.2149658,124.9932709,-433.7841492,-882.0304565,117.5517197,-503.628418
-980.5440674,84.46417236,-751.5527344,-923.4377441,119.6797791,-796.5516357,-895.9824829,112.9713745,-721.1841431,-968.6146851,88.35928345,-476.0288391,-921.2184448,124.9824677,-433.771759,-882.0341797,117.5393524,-503.6245422
-980.5673218,84.4651947,-751.5528564,-923.4362793,119.677002,-796.5324707,-895.9938965,112.9801102,-721.1640625,-968.6443481,88.34072113,-476.0281982,-921.3674316,125.1729965,-433.3609314,-882.0406494,117.5318832,-503.6214905
-980.5462646,84.44273376,-751.5334473,-923.6511841,119.8619843,-796.4834595,-896.0009155,112.9770279,-721.1658325,-968.6424561,88.32680511,-476.0337524,-921.2351685,125.0041199,-433.7123413,-882.0685425,117.5104294,-503.6267395
-980.5839233,84.44932556,-751.5396729,-923.6136475,119.8282089,-796.4435425,-895.9876709,112.9734497,-721.1685791,-968.6713867,88.3321228,-476.0227966,-921.2163086,124.9954071,-433.7171021,-882.0609741,117.5329437,-503.6199341
-980.5651245,84.43437195,-751.5510254,-923.6094971,119.8205872,-796.4848022,-895.994751,112.9692993,-721.1726074,-968.6487427,88.33142853,-476.0285034,-921.225708,124.9884415,-433.7193909,-882.0397339,117.5349045,-503.6264954
